contentId,id,addr1,addr2
1,125266,강원도 횡성군 ,강원도 횡성군 둔내면
2,125405,경상북도 경주시 ,경상북도 경주시 양북면
3,125406,대구광역시 달성군 ,대구광역시 달성군 유가읍
4,125407,경상북도 문경시 ,경상북도 문경시 불정길
5,125408,경상북도 청송군 ,경상북도 청송군 부남면
6,125409,경기도 가평군 ,경기도 가평군 설악면
7,125410,경상북도 봉화군 ,경상북도 봉화군 석포면
8,125411,경상남도 거창군 ,경상남도 거창군 위천면
9,125412,강원도 인제군 ,강원도 인제군 북면
10,125413,강원도 정선군 ,강원도 정선군 정선읍
11,125414,전라북도 임실군 ,전라북도 임실군 삼계면
12,125415,전라북도 완주군 ,전라북도 완주군 동상면
13,125416,전라북도 무주군 ,전라북도 무주군 무풍면
14,125417,강원 강릉시 ,강원 강릉시 성산면
15,125418,울산광역시 울주군 ,울산광역시 울주군 상북면
16,125419,전라남도 장흥군 ,전라남도 장흥군 관산읍
17,125420,강원도 홍천군 ,강원도 홍천군 내면
18,125421,전라남도 장흥군 ,전라남도 장흥군 유치면
19,125423,충북 충주시 ,충북 충주시 가금면
20,125424,충청남도 부여군 ,충청남도 부여군 외산면
21,125425,전라남도 보성군 ,전라남도 보성군 웅치면
22,125427,충청남도 홍성군 ,충청남도 홍성군 홍북읍
23,125428,충청남도 청양군 ,충청남도 청양군 대치면
24,125429,대전광역시 동구 ,대전광역시 동구 산내로
25,125430,경상북도 울진군 ,경상북도 울진군 금강송면
26,125431,충청남도 금산군 ,충청남도 금산군 남이면
27,125432,충청북도 괴산군 ,충청북도 괴산군 연풍면
28,125433,경기도 용인시 ,경기도 용인시 처인구
29,125434,경기도 이천시 ,경기도 이천시 부발읍
30,125435,강원도 횡성군 ,강원도 횡성군 우천면
31,125437,충청남도 보령시 ,충청남도 보령시 주교면
32,125442,전라남도 보성군 ,전라남도 보성군 웅치면
33,125443,경상북도 상주시 ,경상북도 상주시 화북면
34,125445,제주특별자치도 제주시 ,제주특별자치도 제주시 한경면
35,125447,전라북도 고창군 ,전라북도 고창군 공음면
36,125448,충청남도 태안군 ,충청남도 태안군 안면읍
37,125449,경기도 광주시 ,경기도 광주시 남한산성면
38,125450,경기도 파주시 ,경기도 파주시 적성면
39,125451,경기도 광주시 ,경기도 광주시 퇴촌면
40,125452,서울특별시 서초구 ,서울특별시 서초구 원터길
41,125453,경기도 남양주시 ,경기도 남양주시 화도읍
42,125454,경기도 김포시 ,경기도 김포시 하성면
43,125455,경기도 포천시 ,경기도 포천시 이동면
44,125456,경기도 광주시 ,경기도 광주시 도척면
45,125457,경기도 군포시 ,경기도 군포시 속달로
46,125458,경기도 남양주시 ,경기도 남양주시 조안면
47,125459,경기도 남양주시 ,경기도 남양주시 수동면
48,125460,경기도 포천시 ,경기도 포천시 신북면
49,125461,경기도 포천시 ,경기도 포천시 내촌면
50,125462,경기 가평군 ,경기 가평군 북면
51,125463,경기도 포천시 ,경기도 포천시 이동면
52,125464,경기도 포천시 ,경기도 포천시 이동면
53,125465,경기도 이천시 ,경기도 이천시 마장면
54,125467,경기 가평군 ,경기 가평군 가평읍
55,125468,인천광역시 강화군 ,인천광역시 강화군 화도면
56,125469,경기도 포천시 ,경기도 포천시 이동면
57,125470,경기도 양평군 ,경기도 양평군 용문면
58,125471,경기도 포천시 ,경기도 포천시 이동면
59,125472,경기 가평군 ,경기 가평군 북면
60,125473,경기 가평군 ,경기 가평군 하면
61,125474,경기도 양평군 ,경기도 양평군 용문면
62,125475,경기도 이천시 ,경기도 이천시 백사면
63,125476,경기 가평군 ,경기 가평군 설악면
64,125477,경기 가평군 ,경기 가평군 청평면
65,125478,경기 안성시 ,경기 안성시 서운면
66,125479,경기 안성시 ,경기 안성시 죽산면
67,125481,경기도 포천시 ,경기도 포천시 일동면
68,125482,경기도 가평군 ,경기도 가평군 북면
69,125483,경기도 가평군 ,경기도 가평군 북면
70,125484,경기도 가평군 ,경기도 가평군 설악면
71,125485,경기도 양평군 ,경기도 양평군 용문면
72,125488,경기도 가평군 ,경기도 가평군 상면
73,125489,경기 남양주시 ,경기 남양주시 수동면
74,125490,경기도 남양주시 ,경기도 남양주시 수동면
75,125492,경기도 포천시 ,경기도 포천시 이동면
76,125493,경기도 가평군 ,경기도 가평군 북면
77,125494,경기도 파주시 ,경기도 파주시 적성면
78,125495,경기도 양평군 ,경기도 양평군 용문면
79,125496,경기도 연천군 ,경기도 연천군 연천읍
80,125497,인천광역시 옹진군 ,인천광역시 옹진군 북도면
81,125498,인천광역시 옹진군 ,인천광역시 옹진군 자월면
82,125499,인천광역시 옹진군 ,인천광역시 옹진군 자월면
83,125501,인천광역시 중구 ,인천광역시 중구 운남서로
84,125502,인천광역시 강화군 ,인천광역시 강화군 강화읍
85,125503,경기도 화성시 ,경기도 화성시 서신면
86,125504,인천광역시 옹진군 ,인천광역시 옹진군 덕적면
87,125505,인천광역시 옹진군 ,인천광역시 옹진군 백령면
88,125510,경기도 양주시 ,경기도 양주시 장흥면
89,125511,경기도 양주시 ,경기도 양주시 장흥면
90,125512,경기도 수원시 ,경기도 수원시 팔달구
91,125513,경기도 가평군 ,경기도 가평군 상면
92,125514,경기도 안양시 ,경기도 안양시 만안구
93,125517,경기도 가평군 ,경기도 가평군 설악면
94,125518,경기도 포천시 ,경기도 포천시 내촌면
95,125519,인천광역시 중구 ,인천광역시 중구 제물량로232번길
96,125520,경기도 연천군 ,경기도 연천군 전곡읍
97,125521,경기도 포천시 ,경기도 포천시 소흘읍
98,125522,경기도 포천시 ,경기도 포천시 영중면
99,125523,경기도 포천시 ,경기도 포천시 영북면
100,125524,경기도 안성시 ,경기도 안성시 낙원길
101,125525,경기도 포천시 ,경기도 포천시 영중면
102,125527,경기도 포천시 ,경기도 포천시 일동면
103,125528,경기도 남양주시 ,경기도 남양주시 덕릉로1071번길
104,125530,경기도 의왕시 ,경기도 의왕시 청계로
105,125531,경기도 화성시 ,경기도 화성시 용주로
106,125532,인천광역시 강화군 ,인천광역시 강화군 하점면
107,125533,인천광역시 강화군 ,인천광역시 강화군 삼산남로828번길
108,125534,인천광역시 강화군 ,인천광역시 강화군 길상면
109,125535,경기도 안성시 ,경기도 안성시 서운면
110,125536,경기도 안성시 ,경기도 안성시 죽산면
111,125537,경기도 양평군 ,경기도 양평군 용문면
112,125538,경기도 가평군 ,경기도 가평군 조종면
113,125539,경기도 양평군 ,경기도 양평군 용문면
114,125540,경기도 연천군 ,경기도 연천군 미산면
115,125541,경기도 광주시 ,경기도 광주시 퇴촌면
116,125542,경기도 평택시 ,경기도 평택시 소사동
117,125543,경기도 화성시 ,경기도 화성시 향남읍
118,125544,경기도 김포시 ,경기도 김포시 월곶면
119,125545,경기도 구리시 ,경기도 구리시 동구릉로
120,125546,경기도 남양주시 ,경기도 남양주시 진접읍
121,125547,경기도 양주시 ,경기도 양주시 장흥면
122,125548,경기도 남양주시 ,경기도 남양주시 홍유릉로
123,125549,경기도 고양시 ,경기도 고양시 덕양구
124,125550,경기도 고양시 ,경기도 고양시 덕양구
125,125551,경기도 고양시 ,경기도 고양시 덕양구
126,125552,경기도 고양시 ,경기도 고양시 덕양구
127,125553,경기도 파주시 ,경기도 파주시 광탄면
128,125554,경기도 오산시 ,경기도 오산시 경기대로
129,125555,경기도 수원시 ,경기도 수원시 장안구
130,125556,경기도 용인시 ,경기도 용인시 처인구
131,125557,경기도 포천시 ,경기도 포천시 가산면
132,125558,경기도 김포시 ,경기도 김포시 북변중로25번길
133,125559,경기도 화성시 ,경기도 화성시 비봉면
134,125560,경기도 남양주시 ,경기도 남양주시 조안면
135,125561,인천광역시 미추홀구 ,인천광역시 미추홀구 매소홀로
136,125562,경기도 고양시 ,경기도 고양시 덕양구
137,125563,인천광역시 강화군 ,인천광역시 강화군 강화읍
138,125564,인천 강화군 ,인천 강화군 강화읍
139,125565,인천광역시 강화군 ,인천광역시 강화군 하점면
140,125566,인천 강화군 ,인천 강화군 강화읍
141,125567,인천광역시 강화군 ,인천광역시 강화군 강화읍
142,125568,경기도 이천시 ,경기도 이천시 관고동
143,125569,경기도 양평군 ,경기도 양평군 옥천면
144,125571,경기도 안성시 ,경기도 안성시 서운면
145,125572,경기도 안성시 ,경기도 안성시 낙원길
146,125573,경기도 여주시 ,경기도 여주시 능서면
147,125574,경기도 여주시 ,경기도 여주시 주내로
148,125575,경기도 포천시 ,경기도 포천시 관인면
149,125576,경기도 이천시 ,경기도 이천시 신둔면
150,125577,경기도 수원시 ,경기도 수원시 장안구
151,125578,경기도 용인시 ,경기도 용인시 기흥구
152,125579,경기도 파주시 ,경기도 파주시 문산읍
153,125580,경기도 이천시 ,경기도 이천시 경충대로
154,125581,경기도 광주시 ,경기도 광주시 남한산성면
155,125582,경기도 여주시 ,경기도 여주시 여양로
156,125583,경기도 파주시 ,경기도 파주시 탄현면
157,125584,강원도 인제군 ,강원도 인제군 북면
158,125586,강원도 양양군 ,강원도 양양군 서면
159,125587,강원도 원주시 ,강원도 원주시 소초면
160,125588,강원도 강릉시 ,강원도 강릉시 사천면
161,125589,강원도 양양군 ,강원도 양양군 강현면
162,125590,강원도 태백시 ,강원도 태백시 태백산로
163,125591,강원도 평창군 ,강원도 평창군 진부면
164,125593,강원도 홍천군 ,강원도 홍천군 두촌면
165,125594,강원도 태백시 ,강원도 태백시 혈동
166,125595,강원도 평창군 ,강원도 평창군 미탄면
167,125596,강원 평창군 ,강원 평창군 평창읍
168,125597,강원도 삼척시 ,강원도 삼척시 하장면
169,125598,강원도 삼척시 ,강원도 삼척시 새천년도로
170,125599,강원도 화천군 ,강원도 화천군 하남면
171,125600,강원도 원주시 ,강원도 원주시 신림면
172,125604,강원도 춘천시 ,강원도 춘천시 서면
173,125605,강원도 춘천시 ,강원도 춘천시 남산면
174,125606,강원도 홍천군 ,강원도 홍천군 동면
175,125607,강원도 원주시 ,강원도 원주시 귀래면
176,125609,강원도 원주시 ,강원도 원주시 소초면
177,125610,강원도 홍천군 ,강원도 홍천군 서면
178,125611,강원도 횡성군 ,강원도 횡성군 둔내면
179,125612,강원도 평창군 ,강원도 평창군 용평면
180,125613,강원도 영월군 ,강원도 영월군 무릉도원면
181,125614,강원도 인제군 ,강원도 인제군 인제읍
182,125616,강원도 정선군 ,강원도 정선군 남면
183,125617,강원 강릉시 ,강원 강릉시 성산면
184,125618,강원도 양양군 ,강원도 양양군 서면
185,125619,강원도 강릉시 ,강원도 강릉시 연곡면
186,125620,강원도 정선군 ,강원도 정선군 여량면
